,months_causal,total_months,causality_strength,stability_score
USDCHF_high,1,49,[np.int64(2)],0.0
VTSAX_high,0,49,[],0.0
MSFT_low,0,49,[],0.0
IWM_open,0,49,[],0.0
AMD_close,1,49,[np.int64(2)],0.0
MCD_close,0,49,[],0.0
ADBE_volume,0,49,[],0.0
CSCO_open,0,49,[],0.0
SWTSX_adjusted_close,0,49,[],0.0
EURCAD_low_fract,0,49,[],0.0
ATOM_close,0,49,[],0.0
USDCAD_volume,0,49,[],0.0
EURGBP_open_fract,0,49,[],0.0
USDCAD_volume_fract,0,49,[],0.0
ETH_high,0,49,[],0.0
QNT_adjusted_close,0,49,[],0.0
QQQ_low,0,49,[],0.0
SPY_close,0,49,[],0.0
BSESN.INDX_volume,0,49,[],0.0
NFLX_low,0,49,[],0.0
SOYB_open,0,49,[],0.0
AUDUSD_low_fract,6,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(3)]",0.8279947717554249
MCD_volume,0,49,[],0.0
WEAT_high,0,49,[],0.0
HD_adjusted_close,0,49,[],0.0
NKE_high,0,49,[],0.0
FXAIX_adjusted_close,0,49,[],0.0
ETH_open,6,49,"[np.int64(2), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3)]",0.8684665900230715
MOVE.INDX_close,7,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
VFIAX_high,0,49,[],0.0
IWM_adjusted_close,0,49,[],0.0
BSESN.INDX_low,0,49,[],0.0
V_low,0,49,[],0.0
XLK_adjusted_close,0,49,[],0.0
VIGAX_high,0,49,[],0.0
HD_close,0,49,[],0.0
INTC_close,0,49,[],0.0
EFA_close,0,49,[],0.0
SSEC.INDX_close,0,49,[],0.0
CADCHF_high,0,49,[],0.0
TRX_low,0,49,[],0.0
GLD_open,0,49,[],0.0
VIGAX_open,0,49,[],0.0
